date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2015-07-30,,,,,,,39311.09375,,,,,1.21335493201e+11,,4449897,6911
2015-07-31,,,,,,,36191.71875,,,,,6.02941851594e+11,,3994458,6863
2015-08-01,,,,,,,27702.1875,,,,,8.87254173531e+11,,3044344,5293
2015-08-02,,,,,,,28227.1875,,,,,1.02025370755e+12,,3112348,5358
2015-08-03,,,,,,,27976.71875,,,,,1.12583735885e+12,,3099953,5280
2015-08-04,,,,,,,28478.4375,,,,,1.21658734457e+12,,3150854,5368
2015-08-05,,,,,,,27528.59375,,,,,1.32783785749e+12,,3030780,5235
2015-08-06,,,,,,,27075.46875,,,,,1.38084636225e+12,,2986060,5116
2015-08-07,5684487.22712,5684487.22712,2050,170219447.888,2.83,164329.0,27437.65625,37.3184135113,1086,41.6117128722,0.00132077886624,1.47083865066e+12,1977,3282693,5189
2015-08-08,37899681.7885,37899681.7885,2881,168464386.898,2.79,674188.0,27943.4375,68.0999700719,826,0.279,0.00124319442967,1.58612352894e+12,1973,3508878,5256
2015-08-09,823605.517746,823605.517746,1329,42655638.7617,0.706136,532170.0,27178.28125,14.0989497032,732,7.06136,0.00122301053332,1.70947978748e+12,1213,3167541,5123
2015-08-10,1194050.4877,1194050.4877,2037,43153260.2167,0.713989,405283.0,27817.34375,31.1651444384,1001,0.359784483416,0.00122826248427,1.83769576327e+12,1451,3316883,5255
2015-08-11,1053129.87257,1053129.87257,4963,42729601.3384,0.708087,1463100.0,28027.8125,11.311448586,2342,0.0340063030272,0.00121796486677,2.0363907975e+12,3029,3653834,5280
2015-08-12,797474.189141,797474.189141,2036,63986648.9016,1.06,2150620.0,27370.9375,32.5869924044,906,7.63496196467,0.00124406951189,2.20707974229e+12,1479,3348157,5124
2015-08-13,2182919.67454,2182919.67454,2842,73738128.0,1.22,4068680.0,28268.125,24.9291691099,1274,9.9475637699,0.00121009572004,2.33697970806e+12,2486,3519008,5286
2015-08-14,4162001.56084,4162001.56084,3174,109462788.426,1.81,4637030.0,31106.71875,14.3548341128,1594,18.7501433743,0.00121011072806,2.67125315047e+12,3014,3832496,5809
2015-08-15,13902410.5328,13902410.5328,2284,108962422.722,1.8,2554360.0,28512.65625,8.83659302805,1313,18.0,0.00120976066167,3.37802842587e+12,2170,3435520,5382
2015-08-16,2898479.71124,2898479.71124,2440,101550120.0,1.68,3550790.0,27094.53125,6.67723792491,1202,12.0070294226,0.00120780126594,3.63163214444e+12,2340,3287835,5132
2015-08-17,5383055.46816,5383055.46816,2512,114938899.883,1.58,1942830.0,28118.90625,7.64281183963,1249,11.6983602752,0.00121022797205,3.90802403525e+12,2410,3393782,5347
2015-08-18,2409105.86945,2409105.86945,2494,88274737.4862,1.22,1485680.0,26162.8125,11.9060713402,1294,7.82349246966,0.00120569277268,4.37769472537e+12,2324,3208720,4948
2015-08-19,1691424.30403,1691424.30403,3246,84840220.2143,1.17,1486240.0,27282.03125,15.4309506695,1350,6.21243964549,0.00121403885822,4.41957302182e+12,3147,3392043,5192
2015-08-20,592806.204465,592806.204465,2303,91054297.9452,1.25,2843760.0,21057.03125,6.85556694271,1167,6.2484370625,0.00118448776127,4.46910943185e+12,2184,2615975,4024
2015-08-21,894127.676986,894127.676986,3919,107122247.771,1.48,2020970.0,26690.9375,7.85504172471,1425,7.4,0.00105,4.41525264365e+12,3809,3396674,5088
2015-08-22,874020.858748,874020.858748,3579,101654026.377,1.4,948310.0,27550.46875,42.5471718296,1414,5.797294888,0.00115196162067,4.8283409979e+12,3455,3415807,5271
2015-08-23,697311.417317,697311.417317,4190,100484803.244,1.38,1589300.0,26255.625,8.0497676729,1570,5.13557213206,0.00105,5.13835107567e+12,4025,3411809,5013
2015-08-24,630283.148711,630283.148711,4432,98248452.8049,1.35,924920.0,27333.28125,8.8762854198,1436,4.03554478099,0.00105,5.17911888269e+12,4374,3486486,5184
2015-08-25,505362.445352,505362.445352,4487,89469156.6579,1.23,1307180.0,26736.09375,8.25975582511,1580,4.1966506161,0.00105,5.17328767322e+12,4296,3464583,5097
2015-08-26,508937.45783,508937.45783,4156,82208400.1034,1.13,1056750.0,26137.96875,7.44772927856,1527,3.15800381357,0.00105,5.58730409173e+12,4040,3345268,5003
2015-08-27,323871.827426,323871.827426,5590,84977186.4783,1.17,686662.0,24532.8125,8.67096304289,1591,2.86082101384,0.00105,5.92530986149e+12,5441,3332930,4708
2015-08-28,350703.355906,350703.355906,4758,83815746.6807,1.15,721872.0,24225.15625,9.92514837051,1531,3.00740369802,0.00105,6.250868352e+12,4652,3214665,4653
2015-08-29,515079.808623,515079.808623,4139,86843673.7712,1.19,375377.0,22525.0,5.50745152606,1375,3.7230805171,0.00105,6.65764913991e+12,4046,2952536,4329
2015-08-30,490922.053681,490922.053681,4572,85905205.9242,1.18,1337650.0,21453.59375,5.63417374243,1624,2.5375449862,0.00105,6.78090466895e+12,4490,2862531,4155
2015-08-31,508670.855175,508670.855175,5196,96053269.8529,1.32,1447180.0,21293.4375,7.42453381438,1515,2.08618062191,0.00105,7.21376443323e+12,5106,3011745,4122
2015-09-01,3134878.16254,3134878.16254,5153,98507500.0,1.35,778862.0,20339.21875,7.84376985589,1555,2.17756032909,0.00105,7.64149901398e+12,5000,2919171,3938
2015-09-02,374923.646468,374923.646468,5195,98779755.3488,1.35,883769.0,18391.09375,8.15373533105,1514,1.72002257915,0.00105,8.28395333804e+12,4883,2740989,3577
2015-09-03,724609.311931,724609.311931,4777,95162210.0,1.3,702991.0,17380.9375,6.9700256741,1448,1.58358959382,0.00105,8.35459688423e+12,4527,2555486,3383
2015-09-04,222726.876319,222726.876319,5642,92221782.0945,1.26,474391.0,23081.875,9.73385636147,1450,1.40056412845,0.00105,6.46967008025e+12,4924,3387151,4443
2015-09-05,230212.234447,230212.234447,5519,93309977.791,1.28,448453.0,25629.0625,9.1412283236,1486,2.07794157942,0.00105,6.23538621027e+12,5236,3704996,4921
