date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-07-31,,,,0.0,346.36,1075960.0,,,,,,,,,
2017-08-01,,,,4855615612.79,294.6,65988800.0,,,,,,,,,
2017-08-02,,,,6302412307.06,382.38,416207008.0,,,,,,,,,
2017-08-03,421398544.18,331906322.71,20909,7392235056.31,448.49,161518000.0,437.5,20.23473119,74547,2.95657053175e+11,12444,644.959722782,0.00033919,16479358,35
2017-08-04,449196829.237,331263600.376,26517,5969656149.71,362.18,185038000.0,237.5,21.32449804,89602,2.25505642692e+11,16108,676.81952884,0.00025842,21743417,19
2017-08-05,232012894.523,174792481.253,15194,3809332514.43,231.11,144043008.0,162.5,11.22425776,54665,2.25505642692e+11,9989,458.248975536,0.00025225,12025454,13
2017-08-06,191645705.459,130809246.441,11791,3497474586.91,212.18,107606000.0,812.5,9.15282496,41841,1.51123557512e+11,7905,381.697737613,0.00023615,8983068,65
2017-08-07,282879190.79,150346417.535,16114,3688627309.69,223.76,346545984.0,975.0,8.6803523,57375,1.44323701657e+11,12207,538.023965539,0.00019493,11194094,78
2017-08-08,312630132.366,142413578.694,12855,5297452201.45,321.35,274880000.0,287.5,8.44009814,38121,1.33028839463e+11,9440,643.875630054,0.00021661,10794377,23
2017-08-09,191201527.031,124659820.276,10798,5692395447.26,345.28,165032000.0,1187.5,5.51291228,31772,1.15459053828e+11,7460,860.455617882,0.00019493,6894409,95
2017-08-10,135527819.536,88893023.9619,9949,5032212212.17,305.21,136636992.0,1250.0,5.30796253,31655,1.15459053828e+11,7609,623.570448978,0.00021382,7010906,100
2017-08-11,190050948.035,87362030.0575,10507,4548837163.09,275.88,233971008.0,837.5,4.78128428,30846,1.15459053828e+11,8549,789.495501458,0.000187,6132245,67
2017-08-12,246686489.678,84793179.3707,7543,5405527079.59,327.82,126007000.0,900.0,4.60345208,24982,1.15459053828e+11,5010,620.380651147,0.00021728,8563011,72
2017-08-13,89347465.4117,56704210.9146,7814,5215745763.5,316.29,120722000.0,975.0,4.83887706,23401,1.15459053828e+11,5244,548.403667438,0.00021681,8666790,78
2017-08-14,142280000.493,102598103.909,9833,4883059628.31,296.1,174968000.0,1137.5,5.78545113,32359,1.15459053828e+11,8689,554.8993947,0.000187,12249457,91
2017-08-15,145177003.756,127273252.44,7696,4917881691.88,298.18,133924000.0,1400.0,4.87569032,26281,1.15459053828e+11,5920,518.55753259,0.000187,8196260,112
2017-08-16,100361819.853,83440394.4953,135552,4914665035.0,297.97,106436000.0,1050.0,4.35333251,186217,1.15459053828e+11,38301,0.0122882828,7.5e-06,30708572,84
2017-08-17,271072509.438,156567061.372,10813,4965215780.33,301.02,744604992.0,812.5,8.46124586,32859,1.15459053828e+11,9243,722.448,0.000134,6632735,65
2017-08-18,697648681.374,307666228.143,22796,7565968051.5,458.67,3087490048.0,812.5,8.81946855,61270,1.15459053828e+11,19914,1374.55045702,0.000113,12230381,65
2017-08-19,852794710.489,468073695.967,27728,11499090679.1,697.04,3196229888.0,1637.5,11.99113257,76080,1.15459053828e+11,23583,1749.53889379,0.000134,15789341,131
2017-08-20,476761705.315,301625224.614,19530,12747049866.9,772.42,1494019968.0,5800.0,8.876545,52368,72294285468.2,16626,2314.4599466,0.0001567,13646833,464
2017-08-21,329480156.304,198230884.395,16436,11949942329.2,723.7,1123399936.0,9550.0,7.12165057,45427,68222137509.7,15262,1689.93240137,0.000134,14376178,764
2017-08-22,474187796.755,255448934.977,15033,9850964668.97,596.19,1393260032.0,10687.5,6.34074654,41639,74685287379.0,15785,1801.6143093,0.0001125,12271777,855
2017-08-23,345180631.414,207463284.563,9684,11417008464.0,690.96,501983008.0,275.0,4.19772886,32761,2.72888550039e+11,10902,1436.02659705,9.6e-05,6471527,22
2017-08-24,749058824.827,276434158.75,13311,11075904905.7,670.03,407176992.0,7112.5,7.21468871,55709,91536833682.3,14160,2976.25849924,0.00011226,17391062,569
2017-08-25,375702750.124,152994259.049,10916,10371026230.3,627.06,348632000.0,8600.0,5.53354222,29945,89420641867.3,13041,1886.78937777,7.84e-05,6820313,688
2017-08-26,266954819.695,129003445.847,8233,10621494192.2,641.88,193414000.0,8450.0,3.66496469,38672,89420641867.3,9915,824.754307896,9.6e-05,15280977,676
2017-08-27,277326784.034,180754465.076,6328,10357223585.0,625.89,402718016.0,537.5,2.93697368,21483,1.317012917e+11,7930,1171.67521174,9.6e-05,3846288,43
2017-08-28,218513373.713,175963866.405,10161,10256146061.2,619.7,216272992.0,2175.0,4.39485369,30950,1.25189898707e+11,10250,1079.64734489,9.726e-05,7451820,174
2017-08-29,587682370.539,318990634.112,12858,9867112579.42,596.13,370016992.0,1775.0,5.11311822,38786,1.19369386419e+11,11959,1584.23478961,0.0001,7802240,142
2017-08-30,764677649.403,534175063.862,15867,9092915200.9,549.32,443856000.0,1075.0,3.97986965,97424,1.19369386419e+11,9002,559.238620798,0.000113,66936991,86
2017-08-31,199346319.293,165496090.594,13568,9539399202.53,576.25,298144000.0,1075.0,4.39237606,70395,1.19369386419e+11,7305,296.57513,0.00014894,75923072,86
2017-09-01,221919863.356,161795056.518,10362,9741313145.72,588.4,393839008.0,1450.0,3.7594561,33396,1.19369386419e+11,7979,675.760289328,9.6e-05,27172842,116
2017-09-02,211185556.22,154351537.362,7858,10298021845.2,621.96,350478016.0,1675.0,2.77770443,21607,1.19369386419e+11,6151,1127.82818681,9.6e-05,4239513,134
2017-09-03,220267404.698,141677677.781,7515,9575598536.75,578.27,344862016.0,1637.5,2.50160359,25534,1.19369386419e+11,5865,1288.04091108,9.6e-05,6114668,131
2017-09-04,382734875.99,304610602.379,7599,10073186170.3,608.26,328956992.0,1612.5,4.31505577,21795,1.19369386419e+11,6858,1433.21174911,9.6e-05,4683681,129
2017-09-05,306061291.325,207401721.886,7328,8527801718.34,514.9,338977984.0,1400.0,2.36431426,23292,1.19369386419e+11,6799,947.3979785,5.978e-05,8652978,112
2017-09-06,383299421.409,231832494.916,8578,8965564672.3,541.28,693240000.0,1750.0,2.3711804,25853,1.19369386419e+11,8300,1637.317872,9.6e-05,6711565,140
