date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2016-02-08,,,1705,,,,1687121.77083,84.46512,7235,35675.0194462,1820,,0.05,791498,331
2016-02-09,,,8580,,,,7412.56853176,426.9427,15783,148829.140604,4757,,0.05,2807946,359
2016-02-10,124724.002425,110402.466191,4053,0.0,0.953412,127149.0,3280.34443101,235.42523003,5469,228174.595913,1875,17.7978146773,0.05,1317896,161
2016-02-11,69927.1165892,59750.2739921,6668,0.0,0.990628,44529.0,6006.83677288,369.59019,6910,149393.504022,3683,17.9143564684,0.06,2220122,292
2016-02-12,90314.9033558,73994.8345859,3854,0.0,1.22,41599.0,7898.05527544,203.5009,6857,142203.52811,2219,21.6370427468,0.05,1390380,371
2016-02-13,49414.2522803,37732.2911504,1304,0.0,1.31,37094.0,6180.52334104,64.88115,3004,215942.487071,639,22.8669450575,0.05,526738,286
2016-02-14,59569.9486903,52385.8838864,1687,0.0,1.13,15138.0,5099.27581632,97.9489,3985,225406.918173,845,21.0942704574,0.05,824362,238
2016-02-15,62681.264847,51318.1364968,1848,0.0,1.18,45922.0,5358.33006,100.9396,3650,176440.887917,1333,22.0276452564,0.05,735240,250
2016-02-16,52903.1713536,43262.360471,1957,0.0,1.36,59303.0,8515.9195128,109.72655,3014,160498.81225,1609,23.5516834616,0.05,829088,395
2016-02-17,42094.6245037,33075.4043583,1452,0.0,1.48,41295.0,6082.28557648,75.7706,3413,251283.064279,686,24.5742952836,0.05,598848,282
2016-02-18,32299.9438327,23600.4375347,1236,0.0,1.58,31431.0,5833.6715828,62.33965,2568,275746.534239,568,26.297527189,0.05,495654,270
2016-02-19,27812.7515834,20927.7747896,970,0.0,1.43,18000.0,5889.38944008,50.29595,2261,253105.096077,532,23.5952650362,0.05,439069,272
2016-02-20,107357.187585,96436.8188249,5184,0.0,1.45,23922.0,6396.82753472,110.6219,6611,220949.518225,4557,25.6161370445,0.01,1960729,298
2016-02-21,38238.11398,29225.9937565,2977,0.0,1.55,27627.0,6808.72100669,151.2717,7603,246628.295113,624,26.934224481,0.05,1126081,311
2016-02-22,274919.877139,226489.149049,3333,1552418.64368,1.66,61298.0,6706.36962645,184.43445,10371,259035.408179,570,29.9817909012,0.05,1734508,236
2016-02-23,492949.89583,212585.125654,5539,1642815.98953,1.74,90550.0,8192.11293721,281.4661,17464,213318.348511,705,28.0158218322,0.05,2481311,291
2016-02-24,335873.077685,211290.692927,5946,1824929.17228,1.91,133621.0,10253.6407022,301.89140401,18857,243747.169015,1205,31.4626432328,0.05,2716204,349
2016-02-25,819101.463795,558557.270759,2784,2575458.53975,2.67,138725.0,8462.28408567,156.231951,7902,302787.204074,739,42.0898714026,0.05,1798238,283
2016-02-26,382368.981665,355987.872184,2069,2358286.0,2.43,48829.0,7763.59092024,107.5343,7346,306046.977309,617,37.5119060148,0.05,1337046,261
2016-02-27,340850.409124,318130.103137,1426,2375569.11982,2.43,46765.0,7884.78790149,78.0255,6165,269200.256403,731,36.6184576602,0.05,1173992,261
2016-02-28,144384.189313,51400.6143347,2333,2142948.625,2.17,29047.0,9515.78535448,120.852196,10258,253340.253979,873,32.7013583463,0.05,1670609,319
2016-02-29,81284.1494369,68189.1905075,2578,2235377.5534,2.24,39208.0,8362.15700931,112.10443004,8778,263915.490362,1715,34.8633527872,0.05,1694038,283
2016-03-01,397948.633615,177720.989781,2589,2076250.04651,2.06,69219.0,8787.73083042,119.92925001,8330,267529.830303,1624,32.8099209042,0.05,1779293,296
2016-03-02,292328.48677,196756.033751,1187,1719714.0,1.7,40583.0,7769.34821852,67.35760003,5446,271623.747905,968,27.98620087,0.05,1116834,261
2016-03-03,5726621.14732,2842244.70616,3062,1738580.22989,1.7,37621.0,9614.88521881,144.82320103,10602,263438.23854,1555,29.546316659,0.05,1997527,322
2016-03-04,806516.650695,755685.516327,1225,1770680.68966,1.72,17233.0,7838.469114,47.45740002,4819,268855.750757,1113,28.9052819972,0.05,1027372,260
2016-03-05,192279.913128,53805.5435819,2532,1814129.14793,1.74,27323.0,8960.76870985,136.877051,11988,256794.912213,753,28.9029625722,0.05,1959833,298
2016-03-06,353734.821361,149647.904333,2292,1795345.00493,1.71,37126.0,8570.88071123,104.28184565,9077,255788.691682,1198,28.0275008085,0.05,1571610,286
2016-03-07,466304.026129,194499.369233,2055,2160351.5,2.04,34234.0,8595.95733679,90.68955004,7458,265021.365183,1507,34.0195418604,0.05,1496456,288
2016-03-08,587930.297656,292684.342968,2534,2309912.84549,2.17,29222.0,8671.55253374,99.99215002,7493,269827.064221,1074,37.1419098967,0.05,1678260,289
2016-03-09,884200.43921,354188.390283,1538,2481771.78629,2.31,82286.0,8084.26728006,55.06405012,5794,257551.220982,1102,37.5443721576,0.02,1220647,272
2016-03-10,738819.064654,706243.097998,2712,2689892.44828,2.48,35050.0,10057.9973898,97.99185007,12873,259474.039149,1384,37.6691141464,0.022,2193468,343
2016-03-11,2329236.85502,1142146.80653,1008,2529707.7,2.32,51701.0,7683.75471744,40.722717,5565,314383.382514,710,35.8865473616,0.05,1092775,257
2016-03-12,346860.294891,154885.623145,2676,2523716.59649,2.29,51006.0,8395.93863181,103.24930101,10736,296778.001278,1353,37.3519059484,0.05,1924459,281
2016-03-13,68429.5548845,44936.2819403,1523,2530662.05042,2.28,22474.0,8065.17039583,67.95180007,9172,278768.674281,1088,39.1942696164,0.05,1552478,272
2016-03-14,1077866.05843,550811.296423,1964,2663321.29752,2.38,48534.0,8917.32209986,76.88260111,7972,257883.887307,681,37.4734317244,0.05,1451199,301
2016-03-15,484153.879525,226624.234799,2749,2735845.99228,2.43,41795.0,9690.23800373,93.90068602,10545,271195.05785,1245,36.2258067177,0.015,2074621,322
