date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-01-19,,,1151,,,,1812104.0,0.628,3691,0.274700923554,680,,0.0,1272622,4138
2014-01-20,,,4239,,,,201357.0,1.6935,4476,3.60433708939,4215,,0.0,1189408,765
2014-01-21,,,2118,,,,16840.0,1.7975,2262,4.71770142771,2118,,0.001,631205,454
2014-01-22,,,267,,,,2079.0,0.226,338,6.10650391353,266,,0.001,94905,99
2014-01-23,,,188,,,,8729.0,0.158,238,6.10650391353,187,,0.001,74541,79
2014-01-24,,,212,,,,10370.0,0.083,352,6.10650391353,226,,0.0,84481,85
2014-01-25,,,235,,,,8784.0,0.083,329,6.10650391353,234,,0.0,97265,72
2014-01-26,,,260,,,,7808.0,0.168,319,6.10650391353,260,,0.001,83657,64
2014-01-27,,,607,,,,47000.0,0.298,710,1.56864320715,607,,0.0,242059,327
2014-01-28,,,1290,,,,114048.0,0.563,1452,1.2201358272,1283,,0.0,555328,781
2014-01-29,,,861,,,,61396.0,0.405,984,1.75465005785,861,,0.0,337240,428
2014-01-30,,,1633,,,,123956.0,0.8335,1783,1.63087770709,1632,,0.0,677504,859
2014-01-31,,,860,,,,46920.0,0.503,971,3.16947263681,860,,0.001,310053,345
2014-02-01,,,1037,,,,78372.0,0.526,1179,2.3511484618,1037,,0.001,421177,558
2014-02-02,,,1214,,,,114600.0,0.651,1540,2.4593751406,1214,,0.001,520902,821
2014-02-03,,,1079,,,,100451.0,0.63,1209,4.4585356384,1079,,0.0,637790,776
2014-02-04,,,1050,,,,79096.0,0.532,1433,5.98929705854,1050,,0.0,502434,644
2014-02-05,,,1690,,,,97417.0,0.638,1912,6.88633340778,1684,,0.0,705684,817
2014-02-06,,,2277,,,,80040.0,1.182,2541,13.0919073079,2269,,0.0,868338,820
2014-02-07,,,2174,,,,42044.0,1.599,2581,17.2681276688,2165,,0.001,779152,493
2014-02-08,,,3110,,,,78780.0,2.15800691,4760,18.152618769,3094,,0.001,1313248,951
